Group:,LSFAHNGS4Y,LSFAHNGS4Y,LSFAHNGS4Y,LSFAHNGS4Y,LSFAHNGS4Y,LSFGS4Y,LSFGS4Y,LSFGS4Y,LSFGS4Y,LSFGS4Y,WTGS4Y,WTGS4Y,WTGS4Y,WTGS4Y,WTGS4Y
Mouse:,1b,2b,3b,4b,NM,1b,2b,3b,4b,NM,1b,2b,3b,4b,NM
0,43.3,82.4,62,62.7,58.9,96.5,59.2,62.9,54.4,62.5,56.7,69.3,64.4,62.3,89
2,33.4,56.2,42.7,45.7,49.4,72,55.6,48.8,50.9,48.7,55.8,66.5,63.7,61.4,86.2
4,25.2,53.1,35.9,36.1,35.2,59.4,38.9,38.4,36.4,40.8,49.1,62.9,49.1,56.7,80.2
6,24.2,35,28,30.4,26.4,47.6,33.7,31.3,34.5,34.5,49.5,52.6,48.2,55.1,69.2
8,18.79,34.5,23.3,29.9,22.8,44.4,28.6,26.4,27.5,29,41.3,46.3,40.8,46.7,63.8
10,17.56,26.7,21.9,25.2,21,39.4,25.6,24,22.7,25.6,40.9,42.5,39.2,43.3,56.7
12,14.6,24.5,18.6,21.3,18.73,37.6,25.6,23.4,22,25.2,33.7,32.8,32.8,34.4,49.1
22,12.5,16.87,14.4,16.3,14.05,31.1,20.8,19.8,19.2,27.6,29.5,24.2,26.5,27.7,42
26,10.27,15.23,13.05,14,12.91,30.5,20.6,18.64,18.27,20.4,26.2,22.2,25.3,25.5,40.7
30,9.86,12.98,11.66,13.1,11.78,28.1,19.81,17.84,17.09,19.41,25,21.7,24.1,24.1,39.6
44,6.6,9.98,10.19,8.4,8.16,23.3,16.5,14.65,14.2,15.85,21.3,17.72,19.54,21.3,33.6
56,6.21,8.2,7.02,7.65,7.36,21.8,15.29,14,13.46,14.44,18.8,15.96,17.53,19.11,29.6
68,5.08,6.91,5.9,6.23,6.04,18.32,13.37,11.8,11.6,12.68,16.65,13.91,15.01,16.54,26
81,4.3,5.88,5.01,5.34,4.9,17.63,12.36,10.4,11,12.31,15.3,13.2,13.35,14.5,22.8
91,3.83,5.35,4.51,4.8,4.32,16.4,11.17,9.3,9.85,11.1,13.28,11.32,11.41,12.48,20.6
102,3.4,4.62,3.7,3.99,3.98,13.95,10.1,8.62,8.82,9.57,12.22,10.77,11,12.3,19.75
121,2.87,3.55,3.01,3.2,3.07,11.33,8.48,7.36,7.2,8.16,10.22,9.14,9.01,10.8,16.21
130,2.6,3.26,2.68,3.02,2.96,10.62,8.28,7.14,6.97,7.2,9.5,8.74,8.49,9.84,14.73
141,2.69,3.25,2.8,2.77,2.75,9.75,7.57,6.42,6.59,7.19,8.99,7.84,7.74,9.21,14.52
153,2.28,2.83,2.38,2.4,2.43,9.22,6.92,6.2,6.02,6.8,8.42,7.41,7.34,8.73,13.4
165,2,2.38,2.1,2.09,2.1,8,6.35,5.36,5.42,5.95,7.78,6.95,6.39,7.88,11.65
175,,,,,,7.77,5.97,5.18,5.12,5.73,6.95,6.26,6.06,7.38,11.21
189,,,,,,6.92,5.47,4.46,4.64,5.05,6.04,5.4,5.25,6.72,9.7
200,,,,,,6.46,5.14,4.15,4.34,4.71,5.75,5.23,4.92,6.18,8.7
